Matrice;prodConformRatio
Comparison_between_Esperanto_and_Novial - Personal pronouns;100
Comparison_between_Esperanto_and_Novial - Active voice;100
Comparison_between_Esperanto_and_Novial - Passive voice of becoming;100
Comparison_between_Esperanto_and_Novial - Passive voice of being;100
Comparison_between_Esperanto_and_Novial - Language sample for comparison;0
Comparison_between_Ido_and_Interlingua -  Orthography ;92
Comparison_between_Ido_and_Interlingua - Sample text;100
Comparison_between_Ido_and_Novial - Alphabets and pronunciation;100
Comparison_between_Ido_and_Novial - Personal pronouns;100
Comparison_between_Ido_and_Novial - Language sample for comparison;0
Comparison_between_U.S._states_and_countries_by_GDP_(nominal) - State and country data;98
Comparison_between_U.S._states_and_countries_by_GDP_(nominal) - State and country data;97
Comparison_between_U.S._states_and_countries_by_GDP_(nominal)_per_capita - 2009;100
Comparison_between_U.S._states_and_countries_by_GDP_(PPP);98
Comparison_between_U.S._states_and_countries_by_GDP_(PPP) - 2013 Full List ;97
Comparison_of_3D_computer_graphics_software -  General information ;85
Comparison_of_3D_computer_graphics_software - Operating system support;88
Comparison_of_3D_computer_graphics_software - Features;95
Comparison_of_401(k)_and_IRA_accounts - Comparison;100
Comparison_of_802.15.4_radio_modules -  Transceiver-only modules ;100
Comparison_of_802.15.4_radio_modules -  Integrated MCU and transceiver modules ;47
Comparison_of_accounting_software -  Free and open source software ;94
Comparison_of_accounting_software -  Proprietary software ;94
Comparison_of_accounting_software -  Further details ;94
Comparison_of_ADC_software -  General ;84
Comparison_of_ADC_software -  Operating system support ;84
Comparison_of_ADC_software -  Interface and programming ;90
Comparison_of_ADC_software -  Features ;88
Comparison_of_ADC_software -  Interface and programming ;85
Comparison_of_ADC_software -  Features ;83
Comparison_of_ADC_software -  General ;28
Comparison_of_ADC_software -  Operating system support ;23
Comparison_of_ADC_software -  Interface and programming ;23
Comparison_of_ADC_software -  Features ;23
Comparison_of_ADC_software -  General ;90
Comparison_of_ADC_software -  Operating system support ;90
Comparison_of_Adobe_Flex_charts - Flex Chart products;100
Comparison_of_Adobe_Flex_charts - Flex Chart features;88
Comparison_of_ADO_and_ADO.NET;50
Comparison_of_ad_servers -  General information ;95
Comparison_of_ad_servers -  General features ;95
Comparison_of_ad_servers -  Targeting ;28
Comparison_of_Afrikaans_and_Dutch - Comparisons of various words and phrases in Dutch and Afrikaans;100
Comparison_of_Afrikaans_and_Dutch - Comparison of sample text;100
Comparison_of_agent-based_modeling_software -  Comparison of ABM Software ;82
Comparison_of_alcopops -  Beer-based ;100
Comparison_of_alcopops -  Bourbon whiskey-based ;90
Comparison_of_alcopops -  Rum-based ;90
Comparison_of_alcopops -  Scotch whisky-based ;90
Comparison_of_alcopops -  Vodka-based ;100
Comparison_of_alcopops -  Other ;91
Comparison_of_ALGOL_68_and_C++ - Comparison of the assignment and equality operators;83
Comparison_of_AMD_chipsets -  AMD-xxx ;0
Comparison_of_AMD_chipsets -  A-Link Express II ;86
Comparison_of_AMD_chipsets -  A-Link Express III ;100
Comparison_of_AMD_chipsets -  AMD-xxx ;36
Comparison_of_AMD_chipsets -  A-Link Express ;100
Comparison_of_AMD_chipsets -  {{anchor|FCH}} Fusion controller hubs (FCH) ;100
Comparison_of_AMD_processors;100
Comparison_of_American_and_British_English - School;100
Comparison_of_American_and_British_English - Road transport;100
Comparison_of_American_and_British_English - Equivalent idioms;93
Comparison_of_anaerobic_and_aerobic_digestion;100
Comparison_of_Android_e-book_reader_software -  File formats supported ;94
Comparison_of_Android_e-book_reader_software -  Navigation features ;93
Comparison_of_Android_e-book_reader_software -  Display features ;80
Comparison_of_Android_e-book_reader_software -  Edit-tool features ;100
Comparison_of_Android_e-book_reader_software -  Book source management features ;100
Comparison_of_antivirus_software -   ;84
Comparison_of_antivirus_software -   ;81
Comparison_of_antivirus_software -   ;81
Comparison_of_antivirus_software -   ;100
Comparison_of_antivirus_software -   ;100
Comparison_of_antivirus_software - ;94
Comparison_of_antivirus_software - ;81
Comparison_of_antivirus_software - ;75
Comparison_of_antivirus_software - ;80
Comparison_of_antivirus_software - ;81
Comparison_of_application_servers -  Java ;100
Comparison_of_application_virtualization_software - Comparison of virtual machines;90
Comparison_of_application_virtualization_software - List of application virtual machine implementations;89
Comparison_of_archive_formats - Comparison;100
Comparison_of_Asian_national_space_programs - Timeline of national firsts;0
Comparison_of_Asian_national_space_programs - Timeline of national firsts;73
Comparison_of_Asian_national_space_programs -  Other achievements ;100
Comparison_of_Asian_national_space_programs -  Comparison of key technologies ;100
Comparison_of_Asian_national_space_programs -  Orbital Launch Frequency ;100
Comparison_of_assemblers - 6502 assemblers;95
Comparison_of_assemblers - 680x0 assemblers;88
Comparison_of_assemblers - ARM assemblers;83
Comparison_of_assemblers - IBM mainframe assemblers;87
Comparison_of_assemblers - Power Architecture assemblers;100
Comparison_of_assemblers - x86 assemblers;88
Comparison_of_assemblers - Other architectures;100
Comparison_of_ATI_chipsets - Comparison of Northbridges;100
Comparison_of_ATI_chipsets - Comparison of Southbridges;50
Comparison_of_ATI_chipsets - Comparison of Northbridges;85
Comparison_of_ATI_chipsets - Comparison of Southbridges;44
Comparison_of_audio_formats -  General information ;65
Comparison_of_audio_formats -  Technical details ;70
Comparison_of_audio_formats -  Technical details ;100
Comparison_of_audio_player_software - Audio format ability;100
Comparison_of_audio_player_software - Container format ability;100
Comparison_of_audio_player_software - Scalable composite and emulation format abilities;86
Comparison_of_audio_player_software - Protocol abilities;100
